contrato_id;fecha_desembolso;tipo_contrato;tipo_credito;motivo_prestamo;canal_originacion;zona;tipo_inmueble;valor_inmueble_soles;vive_en_inmueble;loan_amount_soles;ltv;plazo_meses;tasa_tea_ofertada;descuento_negociacion_pp;tasa_tea_final;cuota_mensual_soles;ratio_cuota_ingreso;edad;genero;estado_civil;sector_laboral;antiguedad_laboral_anios;ingreso_neto_mensual;score_crediticio;numero_cuentas_activas;deuda_total_sistema_soles;ratio_deuda_ingreso;numero_dependientes;tiene_garantia_adicional;fecha_cancelacion;motivo_cancelacion;duracion_efectiva_meses;meses_transcurridos;max_dias_atraso;meses_con_atraso;par60;estado_credito;prepago;refinanciado;atraso_m001;atraso_m002;atraso_m003;atraso_m004;atraso_m005;atraso_m006;atraso_m007;atraso_m008;atraso_m009;atraso_m010;atraso_m011;atraso_m012;atraso_m013;atraso_m014;atraso_m015;atraso_m016;atraso_m017;atraso_m018;atraso_m019;atraso_m020;atraso_m021;atraso_m022;atraso_m023;atraso_m024;atraso_m025;atraso_m026;atraso_m027;atraso_m028;atraso_m029;atraso_m030;atraso_m031;atraso_m032;atraso_m033;atraso_m034;atraso_m035;atraso_m036;atraso_m037;atraso_m038;atraso_m039;atraso_m040;atraso_m041;atraso_m042;atraso_m043;atraso_m044;atraso_m045;atraso_m046;atraso_m047;atraso_m048;atraso_m049;atraso_m050;atraso_m051;atraso_m052;atraso_m053;atraso_m054;atraso_m055;atraso_m056;atraso_m057;atraso_m058;atraso_m059;atraso_m060;atraso_m061;atraso_m062;atraso_m063;atraso_m064;atraso_m065;atraso_m066;atraso_m067;atraso_m068;atraso_m069;atraso_m070;atraso_m071;atraso_m072;atraso_m073;atraso_m074;atraso_m075;atraso_m076;atraso_m077;atraso_m078;atraso_m079;atraso_m080;atraso_m081;atraso_m082;atraso_m083;atraso_m084;atraso_m085;atraso_m086;atraso_m087;atraso_m088;atraso_m089;atraso_m090;atraso_m091;atraso_m092;atraso_m093;atraso_m094;atraso_m095;atraso_m096;atraso_m097;atraso_m098;atraso_m099;atraso_m100;atraso_m101;atraso_m102;atraso_m103;atraso_m104;atraso_m105;atraso_m106;atraso_m107;atraso_m108;atraso_m109;atraso_m110;atraso_m111;atraso_m112;atraso_m113;atraso_m114;atraso_m115;atraso_m116;atraso_m117;atraso_m118;atraso_m119;atraso_m120
PGH-00011;8/01/2018;cuota puente;NOR;Capital de trabajo;Digital;Lima Norte;Casa;440262;0;228000;0.5176;84;12.72;0;12.72;4113.14;1.2667;48;F;Divorciado/a;Dependiente público;13.4;3247.24;699;3;27338.22;0.7016;4;1;;;78.8;78;30;5;0;Atraso leve;0;0;0;0;0;0;0;0;0;30;30;24;14;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00012;9/01/2018;cuota fija;RYA;Consolidación de deudas;Presencial;Lima Sur;Casa;294043;1;114000;0.3877;84;12.64;0.75;11.89;2005.71;0.7368;39;M;Casado/a;Dependiente privado;3.6;2722.1;593;4;21383.58;0.6546;0;0;;;78.8;78;90;34;0.0641;Atraso severo;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;5;60;58;46;46;35;34;24;18;18;18;18;5;0;0;0;0;0;0;10;7;60;52;51;49;46;90;78;66;64;64;60;60;57;53;49;49;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00013;11/01/2018;cuota mixta;NOR;Adquisición de activos;Presencial;Callao;Departamento;1184950;0;578000;0.488;60;11.6;0.5;11.1;12595.97;5.0346;38;F;Casado/a;Dependiente privado;4.2;2501.88;667;2;4690.2;0.1562;1;0;16/12/2022;Cumplimiento de plazo;60;60;5;4;0;Atraso leve;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00014;11/01/2018;cuota fija;NOR;Consolidación de deudas;Digital;Lima Norte;Casa;766362;1;618000;0.8065;96;18.06;0;18.06;12211.44;0.9908;58;M;Soltero/a;Independiente informal;18.6;12324.61;571;6;12283.83;0.0831;1;0;;;78.7;78;90;57;0.0769;Atraso severo;0;0;0;0;10;0;90;76;75;61;61;61;57;43;43;31;31;27;12;10;2;0;0;0;0;0;10;10;30;30;18;11;0;1;1;10;5;4;0;1;0;0;1;0;0;0;0;10;30;26;11;2;30;24;24;18;18;60;56;47;40;37;37;22;20;20;16;10;6;0;0;0;0;0;60;50;41;41;41;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00015;11/01/2018;cuota puente;RYA;Consolidación de deudas;Digital;Callao;Departamento;430906;1;284000;0.6591;72;15.14;0;15.14;6026.8;1.9092;53;F;Casado/a;Dependiente privado;1.2;3156.76;598;4;21283.15;0.5618;3;0;11/12/2023;Cumplimiento de plazo;72;72;90;42;0.125;Atraso severo;0;0;0;0;1;0;0;0;0;5;4;0;0;0;0;0;0;0;10;7;0;0;0;90;83;83;80;77;66;53;40;34;28;21;11;10;0;0;0;0;0;0;10;0;0;10;90;75;61;59;50;50;45;38;34;23;12;10;3;0;0;0;30;29;27;19;16;16;6;0;10;8;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00016;11/01/2018;cuota puente;NOR;Libre disponibilidad;Digital;Lima Moderna;Casa;581335;1;103000;0.1774;60;9.59;0;9.59;2167.72;0.3562;35;F;Conviviente;Independiente formal;1.4;6085.22;658;2;46526.22;0.6371;1;0;2/12/2019;Venta del inmueble;23;60;30;13;0;Atraso leve;1;0;0;0;0;0;0;0;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;1;0;30;30;30;26;16;12;12;0;0;0;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00017;12/01/2018;cuota puente;RYA;Construcción/Remodelación;Digital;Arequipa;Oficina;225800;0;128000;0.5651;48;13.86;0.25;13.61;3472.8;0.7841;71;M;Casado/a;Empresario;7.6;4429.18;600;6;104619.73;1.9684;2;0;22/12/2021;Cumplimiento de plazo;48;48;30;12;0;Atraso leve;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;30;22;20;16;12;7;6;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00018;13/01/2018;cuota fija;NOR;Construcción/Remodelación;Digital;Callao;Departamento;750693;1;606000;0.8067;60;13.97;0.25;13.72;14012.75;9.2415;32;M;Casado/a;Dependiente privado;11.7;1516.29;815;3;23891.03;1.313;2;0;18/12/2022;Cumplimiento de plazo;60;60;10;9;0;Atraso leve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;7;3;0;0;5;0;0;1;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00019;14/01/2018;cuota fija;NOR;Consolidación de deudas;Digital;Arequipa;Departamento;301136;1;73000;0.2428;48;14.74;0.25;14.49;2012.82;0.6294;58;M;Soltero/a;Dependiente privado;3.8;3197.76;544;2;55698.11;1.4515;1;0;24/12/2021;Cumplimiento de plazo;48;48;30;19;0;Atraso leve;0;0;0;1;0;0;0;0;30;26;13;8;0;0;0;0;30;20;14;14;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;1;0;0;0;10;0;0;0;30;30;30;30;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00020;15/01/2018;cuota fija;NOR;Construcción/Remodelación;Digital;Lima Sur;Casa;480320;1;200000;0.4162;36;11.07;0.25;10.82;6530.71;1.771;39;F;Casado/a;Independiente informal;19.6;3687.6;663;6;39642.52;0.8959;2;0;30/12/2020;Cumplimiento de plazo;36;36;1;1;0;Atraso leve;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00021;15/01/2018;cuota fija;NOR;Capital de trabajo;Presencial;Lima Moderna;Oficina;353162;1;218000;0.6177;108;11.44;0;11.44;3241.7;0.4605;45;F;Divorciado/a;Dependiente público;23.1;7039.35;747;6;46845.1;0.5546;2;1;;;78.6;78;60;14;0;Atraso moderado;0;0;0;0;0;0;0;60;58;52;38;31;19;5;5;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;16;14;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00022;16/01/2018;cuota puente;NOR;Capital de trabajo;Digital;Lima Norte;Terreno;727594;0;591000;0.8125;96;17.55;0.25;17.3;11406.91;2.8194;33;M;Casado/a;Independiente formal;18.4;4045.92;658;5;10950.7;0.2256;3;0;;;78.6;78;10;13;0;Atraso leve;0;0;0;0;10;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;5;3;2;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;5;2;2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00023;19/01/2018;cuota fija;NOR;Construcción/Remodelación;Digital;Lima Centro;Casa;465521;0;235000;0.5049;84;9.05;0;9.05;3786.9;0.6514;37;F;Soltero/a;Dependiente público;22.6;5813.3;773;1;28519.03;0.4088;1;0;;;78.5;78;30;11;0;Atraso leve;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10;0;0;0;30;15;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00024;22/01/2018;cuota fija;NOR;Consolidación de deudas;Digital;Lima Moderna;Casa;180476;1;42000;0.2317;72;12.13;0;12.13;823.95;0.2127;32;F;Soltero/a;Dependiente privado;22.5;3874.46;590;6;85457.55;1.8381;2;0;22/12/2023;Cumplimiento de plazo;72;72;90;40;0.1667;Atraso severo;0;0;0;0;0;0;10;10;0;0;0;30;22;16;10;2;2;1;1;0;0;0;0;0;5;0;0;0;0;10;0;0;0;0;0;0;1;0;0;0;0;0;1;90;90;90;90;87;87;86;80;76;61;61;61;46;42;39;33;33;33;28;27;20;6;6;0;0;0;1;0;0;1;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00025;22/01/2018;cuota puente;RYA;Consolidación de deudas;Digital;Lima Norte;Casa;200043;0;61000;0.3049;84;9.99;1;8.99;981.12;0.3636;31;M;Soltero/a;Dependiente público;8.5;2698.22;712;6;46791.14;1.4451;3;0;;;78.4;78;10;3;0;Atraso leve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00026;22/01/2018;cuota mixta;NOR;Consolidación de deudas;Presencial;Lima Centro;Casa;432143;1;219000;0.5063;84;10.97;0;10.97;3746.36;0.6516;32;F;Conviviente;Independiente formal;8.6;5749.28;655;8;67722.5;0.9816;1;1;;;78.4;78;60;13;0;Atraso moderado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;46;39;39;37;25;19;5;0;0;0;0;0;0;30;19;13;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00027;23/01/2018;cuota fija;RYA;Capital de trabajo;Digital;Otras Regiones;Departamento;590078;1;419000;0.7093;108;14.05;0;14.05;6856.09;2.4636;34;F;Casado/a;Independiente formal;12.7;2783.01;712;4;19056.4;0.5706;0;0;;;78.3;78;5;2;0;Atraso leve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00028;25/01/2018;cuota fija;NOR;Capital de trabajo;Digital;Arequipa;Oficina;257188;0;181000;0.7028;72;16.22;0;16.22;3948.18;1.2236;39;F;Divorciado/a;Dependiente privado;19.8;3226.82;645;5;71895.98;1.8567;3;0;25/12/2023;Cumplimiento de plazo;72;72;30;12;0;Atraso leve;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;30;29;23;16;12;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00029;26/01/2018;cuota fija;NOR;Capital de trabajo;Digital;Lima Norte;Departamento;369781;1;273000;0.7393;60;17.14;0;17.14;6805.32;0.876;38;F;Viudo/a;Empresario;9.7;7768.49;483;2;155103.69;1.6638;2;0;31/12/2022;Cumplimiento de plazo;60;60;60;33;0;Atraso moderado;0;0;5;0;30;19;13;7;1;0;10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;5;0;60;60;51;49;48;44;37;27;16;14;14;14;0;0;0;0;0;0;0;0;0;0;0;60;54;54;49;37;37;30;28;25;22;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00030;27/01/2018;cuota fija;NOR;Construcción/Remodelación;Digital;Lima Norte;Casa;389639;0;134000;0.3433;60;9.2;0;9.2;2794.64;0.3846;36;M;Casado/a;Dependiente público;3.2;7266.78;753;1;55331.31;0.6345;0;1;1/01/2023;Cumplimiento de plazo;60;60;10;4;0;Atraso leve;0;0;0;0;0;0;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00031;27/01/2018;cuota fija;RYA;Libre disponibilidad;Presencial;Cusco;Casa;559650;1;366000;0.6547;60;14.95;0.25;14.7;8649.59;1.1781;32;M;Casado/a;Independiente formal;13.3;7342.22;566;3;130583.12;1.4821;0;0;1/01/2023;Cumplimiento de plazo;60;60;30;23;0;Atraso leve;0;0;0;0;0;10;7;2;0;0;10;8;0;0;0;0;0;0;0;5;5;1;30;25;25;25;25;12;0;0;1;0;0;0;0;0;0;0;5;5;0;0;0;1;0;0;0;5;0;0;10;5;5;3;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00032;27/01/2018;cuota fija;NOR;Consolidación de deudas;Digital;Piura;Casa;362325;1;181000;0.4986;108;15.23;0;15.23;3088.16;0.5958;45;M;Casado/a;Empresario;15.2;5183.26;552;5;5036.42;0.081;3;0;;;78.2;78;90;40;0.0513;Atraso severo;0;0;10;0;5;5;0;0;0;0;0;0;0;0;0;10;10;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;30;18;3;0;30;26;26;19;14;2;1;0;90;90;79;65;53;60;47;33;33;27;16;2;10;6;0;0;0;0;0;60;52;45;33;29;21;12;9;6;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PGH-00033;28/01/2018;cuota fija;RYA;Construcción/Remodelación;Digital;Lima Sur;Departamento;93073;0;21000;0.2217;96;13.44;0;13.44;358.14;0.126;52;F;Casado/a;Independiente formal;6.7;2843.39;571;7;34474.91;1.0104;0;0;28/12/2023;Castigo / recuperación judicial;72;78;120;37;0.1026;Deteriorado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;49;43;32;27;27;14;11;4;0;0;0;0;10;4;0;120;110;108;94;83;75;71;70;60;46;31;22;9;0;0;0;0;0;1;1;1;0;10;7;2;0;0;0;0;0;0;5;0;0;0;5;5;0;0;10;1;0;0;0;1;0;0;0;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
